"game_id","refNum","total_cards","any_cards_light","any_cards_verylight","any_cards_dark","any_cards_verydark","proportion_cards_light","proportion_cards_verylight","proportion_cards_dark","proportion_cards_verydark"
1111,177,4,2,1,1,0,0.5,0.25,0.25,0
1112,2413,3,1,1,1,0,0.333333333333333,0.333333333333333,0.333333333333333,0
1113,1981,2,0,1,1,0,0,0.5,0.5,0
1114,1526,0,0,0,0,0,0,0,0,0
1115,622,1,0,1,0,0,0,1,0,0
1116,2920,1,0,1,0,0,0,1,0,0
1117,64,0,0,0,0,0,0,0,0,0
1118,759,4,4,0,0,0,1,0,0,0
1119,2828,4,1,0,3,0,0.25,0,0.75,0
1120,2052,2,2,0,0,0,1,0,0,0
1121,2432,2,2,0,0,0,1,0,0,0
1122,2747,3,3,0,0,0,1,0,0,0
1123,508,1,1,0,0,0,1,0,0,0
1124,2823,2,0,2,0,0,0,1,0,0
1125,2286,4,2,2,0,0,0.5,0.5,0,0
1126,565,5,1,4,0,0,0.2,0.8,0,0
1127,2867,3,1,2,0,0,0.333333333333333,0.666666666666667,0,0
1128,1428,1,1,0,0,0,1,0,0,0
1129,2931,2,0,0,2,0,0,0,1,0
1130,2426,4,2,2,0,0,0.5,0.5,0,0
1131,1903,3,2,1,0,0,0.666666666666667,0.333333333333333,0,0
1132,1114,4,1,2,1,0,0.25,0.5,0.25,0
1133,2100,2,2,0,0,0,1,0,0,0
1134,398,1,0,1,0,0,0,1,0,0
1135,152,0,0,0,0,0,0,0,0,0
1136,1903,5,2,3,0,0,0.4,0.6,0,0
1137,1066,2,0,2,0,0,0,1,0,0
1138,2669,3,1,1,1,0,0.333333333333333,0.333333333333333,0.333333333333333,0
1139,334,5,0,5,0,0,0,1,0,0
1140,1663,1,1,0,0,0,1,0,0,0
1141,1420,3,2,0,0,1,0.666666666666667,0,0,0.333333333333333
1142,534,7,4,3,0,0,0.571428571428571,0.428571428571429,0,0
1143,1094,3,2,1,0,0,0.666666666666667,0.333333333333333,0,0
1144,1070,1,1,0,0,0,1,0,0,0
